Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,null,null,null,null,null,null
2000-01-01,2.984375,4.000000,2.890625,4.000000,3.429299,600080000
2000-02-01,3.968750,4.523438,3.796875,4.390625,3.764193,400636000
2000-03-01,4.390625,5.656250,4.078125,5.601563,4.802358,400131200
2000-04-01,5.023438,5.437500,3.750000,3.779297,3.240085,498413600
2000-05-01,3.875000,4.375000,3.500000,4.250000,3.643630,396386400
2000-06-01,4.265625,4.937500,4.000000,4.773438,4.092388,659726400
2000-07-01,4.750000,5.343750,4.492188,4.687500,4.018709,336964000
2000-08-01,4.683594,5.515625,4.320313,4.578125,3.924940,397544800
2000-09-01,4.781250,5.218750,4.484375,5.007813,4.293320,216478400
2000-10-01,5.015625,5.609375,4.593750,5.585938,4.788961,315918400
2000-11-01,5.539063,6.351563,5.375000,5.695313,4.882732,487753600
2000-12-01,5.781250,5.875000,5.171875,5.531250,4.742078,348287200
2001-01-01,5.490234,6.257813,5.046875,6.242188,5.351582,403068800
2001-02-01,6.171875,6.414063,5.781250,5.953125,5.103761,326197600
2001-03-01,5.937500,6.132813,4.820313,5.304688,4.547841,470802400
2001-04-01,5.320313,5.445313,4.539063,4.837500,4.147308,596036800
2001-05-01,4.837500,5.382500,4.500000,4.880000,4.183743,376932400
2001-06-01,5.000000,5.827500,4.732500,5.750000,4.929616,295074400
2001-07-01,5.622500,5.725000,4.475000,4.510000,3.866535,376518400
2001-08-01,4.532500,4.772500,4.200000,4.217500,3.615767,348419200
2001-09-01,4.215000,4.330000,3.365000,3.735000,3.202107,339334800
2001-10-01,3.700000,4.487500,3.540000,4.280000,3.669349,388806000
2001-11-01,4.287500,4.887500,4.170000,4.430000,3.797949,377239600
2001-12-01,4.407500,4.992500,4.400000,4.762500,4.083009,283647200
2002-01-01,4.777500,5.970000,4.750000,5.942500,5.094653,421235200
2002-02-01,5.962500,5.962500,5.205000,5.752500,4.931761,223217600
2002-03-01,5.890000,6.132500,5.587500,5.782500,4.957480,259958400
2002-04-01,5.767500,6.425000,5.660000,5.705000,4.891037,315412800
2002-05-01,5.712500,6.125000,5.482500,6.070000,5.203960,348659600
2002-06-01,6.075000,6.325000,5.610000,6.212500,5.326129,354891600
2002-07-01,6.105000,6.240000,4.610000,4.907500,4.207320,478584000
2002-08-01,4.880000,5.455000,4.617500,5.025000,4.308057,324012000
2002-09-01,4.997500,5.392500,4.900000,5.165000,4.428081,283456400
2002-10-01,5.165000,6.025000,5.165000,5.960000,5.109655,430960400
2002-11-01,6.012500,6.040000,5.212500,5.435000,4.659560,301813600
2002-12-01,5.500000,5.522500,5.045000,5.095000,4.368069,283226400
2003-01-01,5.117500,5.825000,4.905000,5.680000,4.869605,360126400
2003-02-01,5.667500,5.880000,5.400000,5.862500,5.026067,293963200
2003-03-01,5.905000,6.630000,5.550000,6.440000,5.521171,375890800
2003-04-01,6.452500,6.717500,5.837500,5.877500,5.038927,426204800
2003-05-01,5.855000,6.207500,5.700000,6.167500,5.287551,381653200
2003-06-01,6.140000,6.365000,5.937500,6.137500,5.261829,279097200
2003-07-01,6.237500,6.942500,6.195000,6.832500,5.857673,336760800
2003-08-01,6.850000,7.132500,6.500000,7.097500,6.084865,196262000
2003-09-01,7.022500,7.737500,7.015000,7.200000,6.172738,314559200
2003-10-01,7.260000,8.000000,7.200000,7.900000,6.772866,224384800
2003-11-01,7.840000,8.262500,7.500000,8.042500,6.895033,217008800
2003-12-01,8.020000,8.357500,7.855000,8.290000,7.107221,201372000
2004-01-01,8.362500,9.202500,8.225000,9.152500,7.846666,269614800
2004-02-01,9.205000,9.920000,9.000000,9.350000,8.015985,271877600
2004-03-01,9.472500,9.685000,9.127500,9.467500,8.116722,288346400
