Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,null,null,null,null,null,null
2000-01-01,30.125000,30.500000,23.375000,24.250000,13.554033,18854500
2000-02-01,24.500000,25.625000,20.750000,25.312500,14.147897,22037700
2000-03-01,24.625000,27.875000,22.250000,25.750000,14.552218,21588900
2000-04-01,25.625000,28.000000,23.312500,24.250000,13.704522,17531600
2000-05-01,24.312500,32.000000,24.312500,30.375000,17.165974,21678400
2000-06-01,30.125000,30.687500,26.375000,29.750000,16.953863,15548300
2000-07-01,29.625000,30.750000,25.875000,25.937500,14.781200,10011100
2000-08-01,26.000000,27.187500,23.000000,23.187500,13.214041,12235400
2000-09-01,23.250000,25.187500,22.625000,24.187500,13.924222,12396400
2000-10-01,24.000000,26.250000,21.562500,25.375000,14.607842,17761500
2000-11-01,25.125000,28.750000,23.750000,24.625000,14.176085,24521800
2000-12-01,24.500000,26.687500,23.187500,26.250000,15.255559,16062800
2001-01-01,26.062500,27.062500,24.250000,26.200001,15.226507,20191000
2001-02-01,26.209999,28.230000,26.170000,26.590000,15.453160,14316200
2001-03-01,26.350000,28.000000,25.350000,27.030001,15.856881,15136900
2001-04-01,26.900000,27.200001,25.000000,25.500000,14.959326,15673000
2001-05-01,25.299999,26.740000,25.000000,26.719999,15.675026,13473800
2001-06-01,26.549999,29.360001,26.100000,29.000000,17.179081,17847700
2001-07-01,29.299999,31.000000,28.700001,30.070000,17.812937,16824000
2001-08-01,30.049999,34.000000,29.690001,31.990000,18.950308,24401300
2001-09-01,31.740000,32.599998,27.980000,30.000000,17.910618,21668600
2001-10-01,29.750000,30.950001,28.500000,30.500000,18.209124,21240300
2001-11-01,30.450001,32.000000,29.110001,29.490000,17.606136,17101600
2001-12-01,29.200001,30.910000,29.000000,30.100000,18.125460,17711800
2002-01-01,29.850000,31.750000,29.020000,30.860001,18.583113,19359000
2002-02-01,30.360001,35.450001,29.389999,34.549999,20.805138,30399600
2002-03-01,34.299999,34.880001,32.299999,33.570000,20.365589,21720700
2002-04-01,33.500000,36.750000,32.750000,35.919998,21.791241,21665400
2002-05-01,36.000000,37.000000,35.000000,36.700001,22.264439,19375500
2002-06-01,36.549999,37.000000,34.070000,35.860001,21.906631,27691800
2002-07-01,35.650002,36.099998,29.350000,34.439999,21.039175,35162400
2002-08-01,34.450001,35.230000,32.070000,32.160000,19.646328,26550200
2002-09-01,31.860001,33.900002,31.440001,33.250000,20.468822,22858700
2002-10-01,33.330002,36.299999,31.280001,31.860001,19.613129,32288600
2002-11-01,32.110001,34.980000,31.340000,33.369999,20.542688,23812500
2002-12-01,33.369999,35.060001,32.700001,34.270000,21.253242,19164800
2003-01-01,34.279999,35.200001,31.480000,33.400002,20.713696,26325300
2003-02-01,33.400002,33.410000,29.440001,29.570000,18.338442,21296000
2003-03-01,30.000000,30.969999,27.850000,30.650000,19.170824,26167300
2003-04-01,30.639999,33.049999,30.270000,32.740002,20.478075,19131700
2003-05-01,32.509998,35.250000,31.900000,35.200001,22.016743,22767700
2003-06-01,35.349998,35.490002,33.619999,34.369999,21.658436,19590600
2003-07-01,34.049999,35.900002,33.380001,34.330002,21.633226,22093500
2003-08-01,34.250000,34.439999,32.980000,33.529999,21.129108,15501500
2003-09-01,33.509998,33.959999,32.599998,33.349998,21.174093,20915200
2003-10-01,33.299999,34.450001,32.599998,33.130001,21.034420,19676900
2003-11-01,33.950001,35.950001,33.880001,35.770000,22.710566,21731100
2003-12-01,35.500000,38.570000,35.290001,38.080002,24.348448,22571900
2004-01-01,37.980000,38.730000,37.009998,37.810001,24.175808,20267500
2004-02-01,37.299999,39.660000,37.000000,39.490002,25.250002,19818100
2004-03-01,39.150002,39.880001,37.700001,39.240002,25.090157,26488600
2004-04-01,39.029999,43.410000,38.910000,42.900002,27.605375,31540800
2004-05-01,42.910000,43.410000,41.290001,42.400002,27.283630,18597100
2004-06-01,42.250000,42.959999,40.790001,41.849998,27.090172,18716800
2004-07-01,41.349998,42.080002,39.880001,41.660000,26.967186,19728600
2004-08-01,41.150002,42.250000,40.259998,41.980000,27.174326,16557300
2004-09-01,41.779999,43.080002,41.099998,42.660000,27.780874,19859000
2004-10-01,42.570000,43.500000,41.509998,43.000000,28.002291,18544900
2004-11-01,42.720001,45.320000,42.200001,43.700001,28.458130,25703900
2004-12-01,43.570000,44.860001,42.840000,44.660000,29.246550,18163100
2005-01-01,44.680000,45.590000,43.740002,44.639999,29.233454,21421700
2005-02-01,44.299999,45.330002,43.160000,44.000000,28.814318,24435500
2005-03-01,43.790001,44.770000,42.410000,43.270000,28.499809,32162400
2005-04-01,43.240002,44.950001,42.349998,44.950001,29.606348,25573400
2005-05-01,44.599998,45.980000,44.430000,45.490002,29.962029,20368700
2005-06-01,45.220001,46.889999,44.200001,44.439999,29.432678,23083400
2005-07-01,44.580002,45.939999,43.500000,45.310001,30.008875,15920100
2005-08-01,45.250000,46.369999,44.490002,45.330002,30.022120,20654300
2005-09-01,45.080002,46.990002,43.419998,46.130001,30.739731,36386600
2005-10-01,46.070000,46.700001,43.500000,44.169998,29.433651,27995000
2005-11-01,44.169998,45.299999,43.759998,44.070000,29.367001,31365200
2005-12-01,44.270000,44.880001,43.220001,43.220001,28.978336,25074200
2006-01-01,43.950001,44.840000,42.639999,42.900002,28.763792,27040000
2006-02-01,43.150002,45.240002,42.410000,44.310001,29.709160,31787100
2006-03-01,44.240002,45.779999,43.790001,44.040001,29.711643,28161800
2006-04-01,44.040001,46.639999,43.060001,46.310001,31.243116,25091800
2006-05-01,46.160000,47.470001,45.720001,47.099998,31.776081,35629500
2006-06-01,47.090000,48.500000,46.250000,48.430000,32.866138,32103400
2006-07-01,48.080002,49.389999,47.310001,48.169998,32.689690,33007100
2006-08-01,47.990002,50.869999,47.590000,50.700001,34.406643,22659400
2006-09-01,50.529999,50.660000,49.200001,49.520000,33.799885,23202000
2006-10-01,49.330002,50.700001,47.709999,50.310001,34.339111,28768400
2006-11-01,50.240002,50.599998,49.130001,49.779999,33.977348,25644600
2006-12-01,49.639999,50.950001,49.330002,50.060001,34.369263,23940200
2007-01-01,50.290001,51.000000,48.950001,49.270000,33.826889,25589500
2007-02-01,49.270000,50.419998,48.680000,49.840000,34.218224,39088800
2007-03-01,49.580002,52.020000,48.910000,51.430000,35.515106,35888500
2007-04-01,51.369999,54.000000,51.180000,52.910000,36.537128,23351000
2007-05-01,53.119999,54.389999,52.389999,53.980000,37.276035,30028500
2007-06-01,54.049999,54.419998,51.049999,51.790001,35.958282,45529000
2007-07-01,51.830002,52.849998,51.040001,51.810001,35.972168,42753700
2007-08-01,51.020000,55.980000,51.020000,54.930000,38.138409,52485500
2007-09-01,55.000000,56.889999,54.020000,56.000000,39.106232,34167600
2007-10-01,55.889999,56.310001,51.599998,52.790001,36.864597,41306400
2007-11-01,52.500000,54.450001,51.490002,54.040001,37.737530,39371400
2007-12-01,54.349998,55.189999,52.349998,52.430000,36.823948,24778200
2008-01-01,52.299999,53.000000,46.250000,47.799999,33.572079,58343000
2008-02-01,48.180000,52.720001,47.950001,50.720001,35.622940,53596200
2008-03-01,50.750000,52.730000,48.900002,52.560001,37.138805,47506900
2008-04-01,52.779999,54.150002,50.939999,51.169998,36.156624,46803300
2008-05-01,50.700001,52.869999,50.160000,51.810001,36.608856,36299600
2008-06-01,51.759998,52.230000,47.810001,48.020000,34.139175,55998100
2008-07-01,47.619999,54.250000,47.619999,53.060001,37.722309,54840800
2008-08-01,53.150002,55.840000,51.950001,54.439999,38.703384,41049100
2008-09-01,54.830002,58.509998,54.000000,56.099998,40.134758,47737200
2008-10-01,55.759998,57.660000,45.250000,50.419998,36.071198,91382100
2008-11-01,50.630001,53.389999,40.509998,43.430000,31.070452,56932900
2008-12-01,42.770000,44.080002,40.320000,43.849998,31.370922,57072200
2009-01-01,43.980000,45.939999,41.959999,43.689999,31.503086,48064500
2009-02-01,43.029999,45.099998,38.000000,38.919998,28.063631,57726800
2009-03-01,38.330002,38.770000,35.639999,36.630001,26.646452,71831600
2009-04-01,36.290001,43.910000,36.290001,42.110001,30.632864,55279400
2009-05-01,42.180000,44.910000,42.180000,43.250000,31.462166,43552600
2009-06-01,43.630001,46.910000,43.169998,46.570000,34.145855,49052500
2009-07-01,46.910000,49.220001,46.470001,47.500000,34.827740,51941000
2009-08-01,47.799999,47.799999,45.580002,47.090000,34.527134,42965000
2009-09-01,46.910000,49.900002,46.419998,49.230000,36.386772,37806700
2009-10-01,49.099998,52.580002,48.150002,51.540001,38.094120,41736800
2009-11-01,51.529999,54.049999,50.820000,52.580002,38.862804,35678800
2009-12-01,52.700001,54.099998,51.549999,53.200001,39.601425,35576800
2010-01-01,53.310001,55.450001,52.549999,54.419998,40.509575,43112100
2010-02-01,54.790001,55.410000,51.700001,52.150002,38.819813,51563800
2010-03-01,52.310001,54.799999,52.049999,53.430000,40.059811,50549000
2010-04-01,53.529999,55.450001,52.029999,54.939999,41.191952,56974000
2010-05-01,55.130001,56.000000,52.400002,53.430000,40.059811,58996900
2010-06-01,53.119999,55.209999,50.209999,50.299999,37.982254,65259600
2010-07-01,50.209999,52.580002,47.279999,50.049999,37.793491,62214200
2010-08-01,50.470001,51.840000,48.970001,49.680000,37.514084,73767400
2010-09-01,50.200001,51.520000,49.490002,50.509998,38.449245,39885700
2010-10-01,50.540001,51.099998,48.720001,50.259998,38.258949,58553500
2010-11-01,50.369999,50.799999,48.509998,49.230000,37.474884,76136200
2010-12-01,49.520000,51.619999,48.849998,51.080002,39.204052,51072600
2011-01-01,51.230000,52.200001,50.029999,50.299999,38.605385,45941800
2011-02-01,50.320000,54.790001,49.990002,53.560001,41.107445,59501500
2011-03-01,53.520000,55.410000,52.720001,53.980000,41.748211,46309100
2011-04-01,53.980000,57.419998,53.799999,57.270000,44.292690,28555900
2011-05-01,57.189999,57.700001,55.860001,56.990002,44.076164,42271500
2011-06-01,56.750000,56.820000,53.450001,55.320000,43.091930,45220600
2011-07-01,55.070000,56.389999,54.349998,55.779999,43.450253,36217800
2011-08-01,56.160000,56.160000,50.380001,54.320000,42.312977,64473700
2011-09-01,54.279999,54.939999,51.630001,53.189999,41.764336,41132200
2011-10-01,52.730000,55.299999,51.939999,54.209999,42.565239,39023300
2011-11-01,53.599998,54.250000,48.099998,49.160000,38.600018,64961100
2011-12-01,49.029999,50.919998,48.470001,50.570000,40.061455,35510700
2012-01-01,50.970001,51.849998,49.070000,49.520000,39.229645,40449000
2012-02-01,49.599998,53.450001,49.270000,52.349998,41.471558,57833600
2012-03-01,52.450001,53.860001,51.639999,53.630001,42.833744,32443200
2012-04-01,53.439999,54.200001,50.049999,50.570000,40.389759,44834200
2012-05-01,50.570000,51.160000,48.779999,48.779999,38.960106,41580900
2012-06-01,48.500000,49.759998,47.880001,49.330002,39.737881,32166500
2012-07-01,49.160000,49.889999,46.330002,47.700001,38.424820,43796300
2012-08-01,47.770000,51.910000,47.509998,50.650002,40.801201,46108600
2012-09-01,50.810001,52.150002,49.919998,51.660000,41.973988,35204600
2012-10-01,51.490002,53.060001,51.270000,52.320000,42.510239,29081900
2012-11-01,52.720001,55.880001,52.160000,55.459999,45.061501,51381200
2012-12-01,55.570000,57.209999,54.529999,55.849998,45.739170,30155600
2013-01-01,56.330002,58.900002,56.040001,58.500000,47.909431,27652900
2013-02-01,58.849998,60.790001,58.000000,60.500000,49.547359,37571600
2013-03-01,60.310001,64.750000,60.049999,64.430000,53.152512,29448600
2013-04-01,64.089996,66.839996,63.189999,65.040001,53.655743,33411100
