Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,null,null,null,null,null,null
2000-01-01,6.375000,6.765625,5.906250,6.484375,6.153179,16203200
2000-02-01,6.492188,6.835938,5.968750,6.125000,5.812158,11690400
2000-03-01,6.093750,6.375000,5.046875,6.375000,6.049389,14721600
2000-04-01,6.351563,6.968750,6.015625,6.296875,5.975255,10780000
2000-05-01,6.312500,6.835938,6.179688,6.546875,6.212485,7329600
2000-06-01,6.531250,6.945313,6.156250,6.306641,5.984522,11499200
2000-07-01,6.335938,6.703125,5.968750,6.171875,5.856640,12481600
2000-08-01,6.171875,6.859375,5.476563,6.734375,6.390409,21729600
2000-09-01,6.734375,7.304688,6.367188,6.789063,6.442303,12130400
2000-10-01,6.781250,6.781250,5.734375,6.093750,5.782506,19907200
2000-11-01,6.125000,6.640625,6.085938,6.125000,5.812158,11675200
2000-12-01,6.093750,7.375000,5.875000,7.343750,6.968659,12095200
2001-01-01,7.343750,8.487500,6.625000,8.426250,7.995870,25104000
2001-02-01,8.457500,8.575000,7.618750,7.981250,7.573599,17132800
2001-03-01,7.993750,9.012500,7.875000,8.968750,8.510661,40616800
2001-04-01,8.993750,9.248750,7.825000,8.156250,7.739660,32021600
2001-05-01,8.181250,10.000000,8.062500,9.662500,9.168978,17913600
2001-06-01,9.665000,10.937500,9.200000,10.250000,9.726470,21639600
2001-07-01,10.250000,11.105000,9.930000,10.530000,9.992169,22731600
2001-08-01,10.587500,11.625000,10.125000,10.587500,10.046728,20760800
2001-09-01,10.500000,10.807500,8.687500,10.415000,9.883042,25671600
2001-10-01,10.287500,11.250000,10.062500,10.260000,9.735960,27426000
2001-11-01,10.250000,10.930000,9.025000,9.475000,8.991055,29680400
2001-12-01,9.525000,10.812500,9.505000,10.712500,10.165346,18220800
2002-01-01,10.712500,12.362500,10.525000,11.967500,11.356246,29423600
2002-02-01,11.992500,13.587500,11.625000,13.587500,12.893503,25955200
2002-03-01,13.412500,13.750000,12.625000,13.740000,13.038215,15093200
2002-04-01,13.715000,15.125000,13.252500,15.100000,14.328752,18039200
2002-05-01,15.100000,15.810000,13.560000,14.735000,13.982395,44948400
2002-06-01,14.800000,16.000000,12.600000,16.000000,15.182784,25264400
2002-07-01,15.995000,15.995000,12.050000,14.370000,13.636037,23026400
2002-08-01,14.350000,15.385000,13.375000,14.205000,13.479463,18762200
2002-09-01,13.825000,14.900000,11.075000,11.550000,10.960071,29376600
2002-10-01,11.625000,12.950000,10.995000,12.665000,12.018121,22560800
2002-11-01,12.665000,12.700000,11.150000,11.760000,11.159345,22779600
2002-12-01,11.800000,12.710000,11.350000,11.855000,11.249494,16287000
2003-01-01,11.930000,13.130000,11.150000,12.535000,11.894760,26983400
2003-02-01,12.500000,12.690000,11.950000,12.315000,11.685997,11660800
2003-03-01,12.275000,12.330000,10.950000,11.350000,10.770285,20803400
